STT,Question,Label
120,Làm thế nào để tăng năng suất lao động?,How
121,Nên chọn laptop dùng AMD hay Intel? ,What
122,Hôm nay có phải là ngày hội sách không?,Yes/No
123,Điều gì giúp bạn giữ được động lực khi làm việc?,What
124,Người đã giới thiệu bạn đến công ty này?,Who
125,Làm sao để viết báo cáo chuyên nghiệp hơn?,How
126,Nơi nào bán đồ điện tử giảm giá?,Where
127,Khi nào bạn dự định học một ngôn ngữ mới?,When
128,Ai sẽ tham gia buổi họp báo ngày mai?,Who
129,Có cách nào để giảm đau đầu nhanh chóng ?,How
130,Bạn thích đọc sách giấy hay sách điện tử?,What
131,Chiếc xe đạp này có phù hợp với bạn không?,Yes/No
132,Bao nhiêu ngày bạn cần để hoàn thành bài tập lớn?,Quantity
133,Món quà ý nghĩa nhất bạn từng nhận được?,What
134,Ai là lớp trưởng của lớp này?,Who
135,Khi nào bạn sẽ tham gia buổi tập huấn kỹ năng?,When
136,Vì sao con người cần tập thể dục đều đặn?,Why
137,Tương lai của AI sẽ ra sao?,How
138,Tôi hợp son hồng hay son đỏ?,What
139,Bạn đã ăn sáng chưa?,Yes/No
140,Laptop Gaming có thể nâng cấp những bộ phận nào?,What
141,Người nào đã lên kế hoạch cho chuyến đi này?,Who
142,Chỗ nào có tổ chức hội chợ việc làm?,Where
143,Khi nào bạn cần hoàn thành báo cáo?,When
144,Lí do khiến giới trẻ thích mua sắm trực tuyến?,Why
145,Làm sao để duy trì chế độ ăn uống lành mạnh?,How
146,Bạn chọn đi học trực tiếp hay học trực tuyến?,What
147,Hôm nay bạn có cảm thấy khỏe không?,Yes/No
148,Điều bạn mong muốn nhất trong năm nay?,What
149,Ai là người truyền cảm hứng lớn nhất trong cuộc sống của bạn?,Who
150,Bao nhiêu tiền cần để đi du lịch Châu Âu?,Quantity
151,Tôi có thể học cách làm đồ thủ công ở đâu?,Where
152,Khi nào bạn định thử một công việc mới?,When
153,Tại sao chúng ta nên đọc sách mỗi ngày?,Why
154,Làm thế nào để thiết kế một căn phòng đẹp?,How
155,Bạn thường thức khuya hay dậy sớm để học?,What
156,Có phải bạn đã quên mang theo tài liệu không?,Yes/No
157,Muốn cải thiện kỹ năng học tập cần làm gì?,What
158,Ai đã mời bạn đến tham gia sự kiện này?,Who
159,Khi nào bạn có thể nộp bài tập cuối kỳ?,When
160,Tại sao bạn lại chọn học đại học ở thành phố này?,Why
161,Cách để quản lý chi tiêu hàng tháng?,How
162,Bạn sẽ chọn làm việc ở công ty lớn hay công ty nhỏ?,What
163,Cái gì là điểm mạnh nhất của bạn trong công việc?,What
164,Ai đã giúp bạn vượt qua khó khăn lần trước?,Who
165,Tìm kiếm các tài liệu chuyên ngành ở đâu?,Where
166,Khi nào bạn sẽ nhận được thông báo kết quả?,When
167,Lí do nào khiến bạn lại không tham gia buổi họp hôm qua?,Why
168,Làm thế nào để giữ cân bằng giữa công việc và cuộc sống?,How
169,Bạn thích sống ở thành phố hay vùng quê?,Where
170,Điều bạn cảm thấy tự hào về bản thân?,What
171,Ai là người bạn ngưỡng mộ nhất trong ngành của mình?,Who
172,Thời điểm phù hợp để mua hoa đào chơi Tết?,When
173,Tại sao loài cá voi lại lớn như vậy?,Why
174,Làm sao để học cách chơi guitar nhanh hơn?,How
175,Bạn muốn tham gia câu lạc bộ sách hay câu lạc bộ âm nhạc?,What
176,Có nên mua những laptop gaming mỏng nhẹ? ,Yes/No
177,Điều gì giúp bạn duy trì sự tập trung khi làm việc?,What
178,Ai là người đóng góp nhiều nhất trong nhóm?,Who
179,Ở đâu có thể tham gia khóa học ngắn hạn về lập trình?,Where
180,Khi nào bạn sẽ gửi báo cáo tài chính?,When
181,Tại sao con người lại mơ khi ngủ?,Why
182,Làm thế nào để cải thiện mối quan hệ với đồng nghiệp?,How
183,Bạn chọn tham gia chuyến đi cuối tuần này hay ở nhà nghỉ ngơi?,What
184,Lớp ET-E16 02 - K67 có bao nhiêu sinh viên?,Quantity
185,Ai là người đã viết bài báo khoa học này?,Who
186,Khi nào bạn dự định học thêm kỹ năng mới?,When
187,Tại sao bạn lại quyết định rời bỏ công việc cũ?,Why
188,Làm sao để lên kế hoạch cho một chuyến du lịch?,How
189,Bạn thích làm việc nhóm hay làm việc độc lập hơn?,What
190,Yếu tố quan trọng để thành công trong công việc?,What
191,Ai sẽ là người đại diện phát biểu trong buổi lễ?,Who
192,Bạn đã từng thử món ăn đặc sản của miền Trung chưa?,Yes/No
193,Làm thế nào để tải ứng dụng từ App Store?,How
194,Tại sao hoa hướng dương luôn quay về phía mặt trời?,Why
195,Tôi có thể học kỹ năng nấu ăn cơ bản ở đâu?,Where
196,Kỳ nghỉ lễ sắp tới bạn dự định đi đâu?,Where
197,Điều gì làm bạn cảm thấy tự hào về đất nước mình?,What
198,Có phải bạn đã quên đem theo sách giáo trình hôm nay?,Yes/No
199,Cậu đã làm được bao nhiêu bài tập rồi?,Quantity
200,Làm cách nào để khắc phục lỗi khi sử dụng phần mềm?,How
201,Ai phát minh ra điện thoại di động đầu tiên?,Who
202,Tại sao cây xanh lại cần ánh sáng mặt trời để sống?,Why
203,Bạn thích du lịch nước ngoài hay khám phá trong nước hơn?,What
204,Chiếc áo này có phải là sản phẩm mới nhất trong bộ sưu tập không?,Yes/No
205,Khi nào bạn sẽ bắt đầu học đàn piano?,When
206,Ai đã giúp bạn hoàn thành bài tập lớn này?,Who
207,Ở đâu bán sách giáo trình với giá ưu đãi?,Where
208,Điều gì khiến bạn cảm thấy hạnh phúc nhất trong công việc?,What
209,Làm sao để tiết kiệm năng lượng khi sử dụng điều hòa?,How
210,Liệu AI có thay thế con người không?,Yes/No
211,Món ăn nào bạn yêu thích nhất trong dịp Tết?,What
212,Tại sao chúng ta cần bảo vệ môi trường sống?,Why
213,Lớp yoga buổi tối mở ở đâu?,Where
214,Khi nào bạn dự định mua máy tính mới?,When
215,Điều gì làm bạn cảm thấy tự tin khi trình bày trước đám đông?,What
216,Làm thế nào để tăng cường khả năng giao tiếp tiếng Anh?,How
217,AI có nguy hiểm không?,Yes/No
218,Cần bao nhiêu tiền để mở một cửa hàng nhỏ?,Quantity
219,Bạn muốn tham gia câu lạc bộ âm nhạc hay thể thao?,What
220,Ai là người phụ trách tổ chức sự kiện tuần này?,Who
221,Điều gì giúp bạn duy trì động lực học tập?,What
222,Làm cách nào để cải thiện chất lượng không khí trong nhà?,How
223,Có ai trong gia đình bạn từng học ở trường này không?,Yes/No
224,Khi nào là thời điểm tốt nhất để tập thể dục mỗi ngày?,When
225,Tại sao trẻ em cần ngủ đủ giấc mỗi ngày?,Why
226,Có đúng không khi cho rằng trí tuệ nhân tạo đang dần thay thế con người trong nhiều lĩnh vực?,Yes/No
227,Ở đâu có dịch vụ chăm sóc thú cưng uy tín?,Where
228,Lý do chính khiến bạn chọn ngành học này?,Why
229,Người đầu tiên chinh phục đỉnh Everest là?,Who
230,Bạn muốn dùng món tráng miệng nào trong thực đơn hôm nay?,What
231,Điều gì bạn thấy thú vị nhất khi làm việc nhóm?,What
232,Làm thế nào để phát triển tư duy sáng tạo?,How
233,Khi nào bạn sẽ tổ chức sinh nhật cho con?,When
234,Điều gì khiến bạn muốn trở thành nhà khoa học?,What
235,Tại sao các loài chim lại di cư vào mùa đông?,Why
236,Bạn đã từng tham gia lớp học nấu ăn truyền thống chưa?,Yes/No
237,Tìm hiểu về lịch sử Việt Nam chi tiết ở đâu?,Where
238,Điều gì khiến bạn tin tưởng sản phẩm này hơn?,What
239,Làm sao để sắp xếp công việc khoa học hơn?,How
240,Có phải bạn đang tìm kiếm một công việc mới không?,Yes/No
241,Bao nhiêu người tham gia chương trình thiện nguyện lần trước?,Quantity
242,Khi nào bạn sẽ đi du lịch cùng gia đình?,When
243,Điều gì làm bạn cảm thấy yêu thích môn toán học?,What
244,Làm cách nào để cải thiện khả năng viết luận văn?,How
245,Có ai trong lớp đã nộp bài tập chưa?,Yes/No
246,Chỗ nào bán các sản phẩm thủ công mỹ nghệ độc đáo?,Where
247,Bạn sẽ chọn máy ảnh kỹ thuật số hay máy ảnh film?,What
248,Tại sao các loài động vật cần môi trường sống tự nhiên?,Why
249,"Chơi game crack, dùng Windows lậu có sao không?",Yes/No
250,Chủ đề nào làm bạn thấy hứng thú nhất ?,What
251,Khi nào là thời điểm thích hợp để bắt đầu một sở thích mới?,When
252,Ai sẽ là người hướng dẫn bạn trong khóa học này?,Who
253,Điều gì khiến bạn quyết định thay đổi phong cách sống?,What
254,Làm thế nào để bảo vệ dữ liệu cá nhân khi sử dụng mạng xã hội?,How
255,Có phải bạn đã từng tham gia các cuộc thi tranh biện không?,Yes/No
256,Bao nhiêu giờ bạn dành để học ngoại ngữ mỗi tuần?,Quantity
257,Bạn muốn đi thăm bảo tàng hay công viên sinh thái vào cuối tuần?,Yes/No
258,Tại sao chúng ta cần tái chế rác thải nhựa?,Why
259,Điều gì làm bạn thấy thư giãn sau một ngày làm việc dài?,What
260,AI hoạt động như thế nào?,How
261,Người đã giới thiệu bạn vào công việc hiện tại?,Who
262,Bạn muốn học thêm ngoại ngữ nào ngoài tiếng Anh?,What
263,Chỗ nào cung cấp các khóa học miễn phí về thiết kế đồ họa?,Where
264,Điều gì khiến bạn nhớ nhất về thời đi học?,What
265,Khi nào bạn dự định tham gia các khóa học phát triển kỹ năng?,When
266,Làm sao để giảm thiểu tác động tiêu cực từ ô nhiễm tiếng ồn?,How
267,Tại sao con người cần phát triển công nghệ xanh?,Why
268,Bạn đã từng thử nấu món ăn theo phong cách nước ngoài chưa?,Yes/No
269,Tôi có thể tìm kiếm các bài viết học thuật uy tín ở đâu?,Where
270,Giới hạn của AI về mặt phát triển là gì?,What
271,Ai đã truyền cảm hứng cho bạn trong hoạt động này?,Who
272,Điều gì làm bạn cảm thấy hứng thú khi tham gia hoạt động ngoại khóa?,What
273,Khắc phục lỗi màn hình không hiển thị chuột bằng cách nào?,How
274,Bạn đã từng nghĩ đến việc bắt đầu khởi nghiệp chưa?,Yes/No
275,Khi nào là thời điểm thích hợp để học cách đầu tư?,When
276,Tại sao chúng ta nên chú trọng đến sức khỏe tinh thần?,Why
277,Điều gì làm bạn cảm thấy hạnh phúc trong cuộc sống hàng ngày?,What
278,Làm cách nào để lập kế hoạch học tập hiệu quả?,How
279,Có phải bạn đang tìm hiểu về các chương trình trao đổi sinh viên không?,Yes/No
280,Đăng ký các lớp học kỹ năng mềm ở đâu ?,Where
281,Bạn muốn chọn làm việc ở thành phố lớn hay vùng quê yên tĩnh?,Where
282,Điều gì khiến bạn cảm thấy yêu thích việc đi du lịch?,What
283,Làm sao để chọn một cuốn sách phù hợp với sở thích?,How
284,Khi nào bạn sẽ tổ chức buổi họp mặt gia đình?,When
285,Tại sao chúng ta nên học hỏi từ những thất bại?,Why
286,Bạn đã từng tham gia các buổi hòa nhạc trực tiếp chưa?,Who
287,Cái gì là điều đầu tiên bạn làm khi bắt đầu một ngày mới?,What
288,Ai đã giúp bạn trong giai đoạn khó khăn nhất?,Who
289,Điều gì khiến bạn cảm thấy an tâm khi làm việc tại công ty này?,What
290,Làm thế nào để xây dựng một mối quan hệ bền vững?,How
291,Bạn thích gì hơn: chó hay mèo?,What
292,Bạn học được kỹ năng này như thế nào?,How
293,Ai là thủ tướng đầu tiên của Việt Nam?,Who
294,Tương lai của giáo dục sẽ thay đổi như thế nào?,How
295,Bạn mong muốn có bao nhiêu căn nhà sau 10 năm nữa?,Quantity
296,Khi nào bạn tốt nghiệp đại học?,When
297,"Bạn thường uống gì vào buổi sáng, trà hay cà phê?",What
298,"Nếu có thể sống ở bất kỳ nơi nào trên thế giới, bạn sẽ chọn nơi nào?",Where
299,Bạn đã tham gia cuộc họp sáng nay chưa?,Yes/No
300,Hôm qua cậu được bao nhiêu điểm?,Quantity
301,Nguyên nhân nào dẫn đến sự thay đổi khí hậu?,Why
302,Ai sẽ dạy lớp học tuần tới?,Who
303,Cách nào để tiết kiệm thời gian khi làm việc?,How
304,Thư viện gần nhất chỗ nào?,Where
305,Bạn có đọc sách mỗi ngày không?,Yes/No
306,Điều gì quan trọng nhất trong cuộc sống của bạn?,What
307,Bao giờ công ty tổ chức hội thảo?,When
308,Đây có phải là món ăn bạn thích không?,Yes/No
309,Thành phố nào là thủ đô của Việt Nam?,Where
310,Làm thế nào để giảm cân hiệu quả?,How
311,Bạn có bao nhiêu người bạn thân?,Quantity
312,Công ty của bạn có bao nhiêu nhân viên?,Quantity
313,Bạn thường nghe loại nhạc nào khi thư giãn?,What
314,Điều gì sẽ xảy ra nếu bạn trúng xổ số?,What
315,Lịch sử Việt Nam bắt đầu từ khi nào?,When
316,Người nào chịu trách nhiệm về dự án này?,Who
317,Điều gì khiến bạn chọn một công việc mới?,What
318,Tại sao bạn quyết định chuyển ngành học?,Why
319,Làm sao để giải bài toán này?,How
320,Bạn sẽ làm gì nếu không có internet trong một tuần?,How
321,Bạn học trung học ở trường nào?,Where
322,Tại sao bạn nghỉ làm việc ở công ty trước?,Why
323,Làm thế nào để tạo một kế hoạch tài chính hiệu quả?,How
324,Địa điểm nào nổi tiếng nhất ở Việt Nam?,Where
325,"Nếu không làm công việc này, bạn sẽ làm gì?",What
326,Ai đã sáng lập ra Shopee?,Who
327,Bạn đã gặp anh ấy lần đầu khi nào?,When
328,Bao nhiêu tiền là đủ để mua nhà?,Quantity
329,Đây có phải là quyết định cuối cùng của bạn không?,Yes/No
330,Cái gì làm bạn cảm thấy hạnh phúc?,What
331,Lý do nào khiến bạn chọn học ngành này?,Why
332,Bạn đã hoàn thành bao nhiêu dự án trong năm nay?,Quantity
333,Làm thế nào để sửa lỗi phần mềm này?,How
334,Loại sách nào bạn hay đọc khi có thời gian rảnh?,What
335,Ai là người đứng đầu bộ phận nhân sự?,Who
336,Thành phố nào bạn muốn ghé thăm nhất?,Where
337,Tại sao bạn thích làm việc tại công ty này?,Why
338,Công nghệ này hoạt động như thế nào?,How
339,Khi nào bạn định kết hôn?,When
340,Đây có phải là điện thoại mới của bạn không?,Yes/No
341,Điều gì là thách thức lớn nhất trong công việc của bạn?,What
342,Vì sao bạn chọn sản phẩm này thay vì sản phẩm khác?,Why
343,Cách nào nhanh nhất để học một ngôn ngữ mới?,How
344,Ai đã giúp bạn vượt qua khó khăn lần trước?,Who
345,Ngày nào bạn thích nhất trong tuần?,When
346,Bao nhiêu học sinh đang học trong lớp của bạn?,Quantity
347,Bạn có muốn tham gia sự kiện này không?,Yes/No
348,Giảng viên môn NLP lớp bạn là ai?,Who
349,Thành phố nào bạn nghĩ là đáng sống nhất?,Where
350,Bạn sẽ làm gì nếu trúng giải độc đắc?,How
351,Tại sao bạn muốn chuyển đến sống ở thành phố này?,Why
352,Làm thế nào để tiết kiệm chi phí khi mua sắm?,How
353,Giảng viên môn NLP của bạn rất tuyệt vời phải không?,Yes/No
354,Ai là người gửi email đó cho bạn?,Who
355,Đây có phải là lần đầu tiên bạn đến đây không?,Yes/No
356,Khi nào bạn định bắt đầu dự án mới?,When
357,Địa điểm nào ở Việt Nam bạn muốn đến nhất?,Where
358,Điều gì khiến bạn cảm thấy hứng thú với công việc hiện tại?,What
359,Ai là người lãnh đạo nhóm của bạn?,Who
360,Vì sao bạn lại thay đổi quyết định?,Why
361,Bạn sẽ làm gì nếu được nghỉ phép một tuần?,How
362,Thành phố nào nổi tiếng với món phở?,Where
363,Bạn đã tham gia lớp học đó chưa?,Yes/No
364,Làm thế nào để quản lý thời gian hiệu quả hơn?,How
365,Bạn có bao nhiêu anh chị em?,Quantity
366,Sự kiện này diễn ra vào ngày nào?,When
367,Cái gì là ưu tiên hàng đầu của bạn trong năm nay?,What
368,"Khi nào bạn thích đọc sách nhất, buổi sáng hay buổi tối?",When
369,Tại sao bạn lại chọn làm việc ở đây?,Why
370,Bạn sẽ đi du lịch ở đâu vào kỳ nghỉ này?,Where
371,Cách nào để học lập trình nhanh nhất?,How
372,Khi nào bạn có thể gửi báo cáo cho tôi?,When
373,Bao nhiêu tiền để bạn mua chiếc xe này?,Quantity
374,Đây có phải là lần cuối cùng bạn gặp anh ấy không?,Yes/No
375,Điều gì khiến bạn cảm thấy lo lắng nhất?,What
376,Bạn sẽ chọn người nào để dẫn dắt dự án?,Who
377,Khi nào bạn sẽ quyết định chọn ngành học?,When
378,"Nếu không phải hôm nay, bạn sẽ chọn ngày nào?",When
379,Bạn nghĩ rằng công nghệ ảnh hưởng đến cuộc sống như thế nào?,What
380,Khi nào bạn sẽ tổ chức tiệc cưới?,When
381,Khi nào bạn muốn học một kỹ năng mới?,When
382,Làm thế nào bạn có thể cải thiện kỹ năng giao tiếp?,How
383,Cái gì là yếu tố quyết định trong thành công?,What
384,Bạn đã viết được bao nhiêu trang cho báo cáo?,Quantity
385,Đây có phải là giải pháp tốt nhất không?,Yes/No
386,Ai sẽ đưa ra quyết định cuối cùng?,Who
387,Bạn thích ăn ở nhà hàng nào nhất?,Where
388,Khi nào bạn cảm thấy mình trưởng thành hơn?,When
389,Bạn sẽ chọn địa điểm nào để nghỉ dưỡng?,Where
390,Bạn sinh ra ở đâu?,Where
391,Có bao nhiêu người đã tham gia buổi họp hôm nay?,Quantity
392,Điều gì làm bạn cảm thấy tự hào nhất?,What
393,Tại sao bạn cảm thấy hạnh phúc với công việc này?,Why
394,Cách nào để đạt được mục tiêu trong thời gian ngắn?,How
395,Địa điểm nào bạn sẽ chọn để tổ chức tiệc cưới?,Where
396,Bạn có đồng ý với quyết định của họ không?,Yes/No
397,Khi nào bạn nghĩ là thời điểm thích hợp để đầu tư?,When
398,Điều gì khiến bạn quyết định học ở nước ngoài?,Why
399,Bạn muốn du lịch ở đâu để khám phá mạo hiểm hoặc thư giãn?,Where
400,Ai đã phát minh ra bóng đèn?,Who
401,Bạn đã thực hiện bao nhiêu cuộc gọi hôm qua?,Quantity
402,Tại sao bạn chọn học ngành công nghệ thông tin?,Why
403,Cách nào bạn sử dụng để tìm kiếm thông tin nhanh nhất?,How
404,Bạn đã từng thử món ăn này chưa?,Yes/No
405,Bạn thường đến quán cà phê nào?,Where
406,Ai là người trả tiền ăn hôm qua?,Who
407,Bạn có bao nhiêu món đồ cần mua?,Quantity
408,Bạn học ngoại ngữ như thế nào?,How
409,Thời điểm nào bạn thấy khó khăn nhất?,When
410,Bạn nghĩ rằng thế giới sẽ thay đổi ra sao trong 20 năm tới?,What
411,Bạn có muốn tham gia cuộc thi này không?,Yes/No
412,Điều gì làm bạn cảm thấy yêu đời hơn?,What
413,Tại sao bạn không tham gia sự kiện lần trước?,Why
414,Trong lớp bạn có bao nhiêu học sinh?,Quantity
415,Khi nào bạn nhận ra sở thích của mình?,When
416,Bạn đã ghé thăm bao nhiêu quốc gia?,Quantity
417,Ai là nhà vô địch giải đấu năm nay?,Who
418,Bạn đã từng đến thăm thành phố Đà Nẵng chưa?,Yes/No
419,Bạn sẽ làm gì nếu gặp lại người bạn cũ?,How
420,Khái niệm nào là cơ bản nhất trong vật lý?,What
421,Sinh viên xuất sắc Đại học Bách khoa Hà Nội tốt nghiệp có được lương nghìn đô không?,Yes/No
422,"Nếu bạn được chọn đi du lịch miễn phí, bạn sẽ đi đâu?",Where
423,Cách nào tốt nhất để tiết kiệm tiền?,How
424,Nơi nào bạn nghĩ là tốt nhất để học tập?,Where
425,Món quà nào bạn muốn nhận vào sinh nhật?,What
426,Ai là người đã gợi ý cho bạn cuốn sách bạn thích nhất?,Who
427,Bạn đã dành bao nhiêu giờ để hoàn thành bài tập?,Quantity
428,Khi nào bạn dự định hoàn thành dự án này?,When
429,Điều gì bạn muốn thay đổi trong tương lai?,What
430,Ai sẽ tham gia cùng bạn trong chuyến du lịch sắp tới?,Who
431,Điều gì khiến bạn chọn ngành học này?,What
432,Ai đã viết bài hát này?,Who
433,Đây có phải là lựa chọn cuối cùng của bạn không?,Yes/No
434,Đâu là nơi bạn cảm thấy bình yên nhất?,Where
